"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","商城ui测试","0","商品详情页","2","0","图片画廊","0"
"0","商城ui测试","0","商品详情页","4","0","商品信息","0"
"0","商城ui测试","0","注册页","5","0","注册-逆向场景","0"
"0","商城ui测试","0","主页","3","0","推荐商品区域","0"
"0","商城ui测试","0","主页","5","0","全局搜索框","0"
"0","商城ui测试","0","登录页","1","0","状态安全","0"
"0","商城ui测试","0","主页","1","0","成功导航至主页","0"
"0","商城ui测试","0","商品详情页","2","0","商品评价","0"
"0","商城ui测试","0","注册页","1","0","导航至注册页","0"
"0","商城ui测试","0","主页","2","0","轮播图区域","0"
"0","商城ui测试","1","登录页","3","0","登录","0"
"0","商城ui测试","0","商品详情页","1","0","页面跳转","0"
"0","商城ui测试","0","登录页","1","0","导航至登录页成功","0"
"0","商城ui测试","0","商品详情页","2","0","购物车","0"
"0","商城ui测试","0","主页","1","0","","0"
"0","商城ui测试","0","主页","1","0","LOGO","0"
"0","商城ui测试","0","主页","1","0","迷你购物车","0"
"0","商城ui测试","0","登录页","3","0","链接跳转","0"
"0","商城ui测试","0","主页","1","0","货币切换","0"
"0","商城ui测试","0","注册页","1","0","注册-正向场景","0"
